item_id,beer_name,brewery_name,beer_type,beer_abv,beer_ibu,venue_name,venue_city,venue_state,venue_country,venue_lat,venue_lng,created_at,notes,quantity,container,purchase_date,bottled_date,best_by_date,best_by_date_iso,purchase_location,purchase_price,photo
5937453,Theta,Brekeriet,"Wild Ale - Other",5.6,10,,,,,,,"2025-04-17 13:27:26",,1,,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0000-00-00,,0.00,
5963070,"Narwhal Imperial Stout (2024)","Sierra Nevada Brewing Co.","Stout - Imperial / Double",10.2,60,,,,,,,"2024-12-05 18:27:20",,1,,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0000-00-00,,0.00,
5981483,"Bloom (2024)","PINTA Barrel Brewing","Wild Ale - Other",5.5,0,,,,,,,"2025-04-17 13:30:09",,1,,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0000-00-00,,0.00,
5984600,"Vintage Ale (2024)","Fuller's Griffin Brewery","Old / Stock Ale",8.4,40,,,,,,,"2024-11-15 11:37:53",,4,,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0000-00-00,,0.00,
5996687,"Oberoende Röklager","Närke Kulturbryggeri","Lager - Smoked",6,0,,,,,,,"2024-10-19 09:10:12",,1,,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0000-00-00,,0.00,
6007328,"Oberoende Rököl","Nyköping Brewing Company","Smoked Beer",5.2,22,,,,,,,"2024-10-19 08:46:27",,3,,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0000-00-00,,0.00,
6007665,"Oberoende glödkolsmäskad Lager",Bottenvikens,"Lager - Smoked",5.2,21,,,,,,,"2024-10-19 08:52:45",,1,,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0000-00-00,,0.00,
6007855,"Oberoende Märzen","Brygghus 19",Märzen,6.2,25,,,,,,,"2025-04-08 18:11:37",,3,,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0000-00-00,,0.00,
6031389,"A London Porter","The Kernel Brewery","Porter - English",5,0,,,,,,,"2025-02-15 14:36:22",,1,,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0000-00-00,,0.00,
6042689,"Hallon Lakrits","Brygghus 19","Sour - Smoothie / Pastry",6.8,0,,,,,,,"2024-12-05 18:22:51",,1,,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0000-00-00,,0.00,
6051349,Blomster,Brekeriet,"Wild Ale - Other",5.8,0,,,,,,,"2024-12-21 12:58:20",,1,,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0000-00-00,,0.00,
6053174,Tau,Brekeriet,"Sour - Other",7.7,0,,,,,,,"2024-12-20 20:04:30",,1,,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0000-00-00,,0.00,
6055366,"Barrel Aged Banana Cookie Kooks",Omnipollo,"Stout - Imperial / Double Pastry",15.4,0,,,,,,,"2024-12-06 17:34:28",,1,,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0000-00-00,,0.00,
6075004,"Piece of Cake: Apple Crumble Pie B.A.","Frontaal Brewing Co.","Stout - Imperial / Double Pastry",10.5,0,,,,,,,"2025-05-22 17:09:11",,1,,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0000-00-00,,0.00,
6121272,Koalafication,"Brygghus 19","IPA - New England / Hazy",7,70,,,,,,,"2025-02-21 12:56:50",,2,,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0000-00-00,,0.00,
