Total Beers,=SUM(F5:F115),Total Unique Items,=COUNTA(A5:A115),,,,,,
Total Unique Filtered Items,=SUBTOTAL(103; A5:A115),Random Row #,=RANDBETWEEN(5;(D1+4)),,,,,,
Random Beer,=IF( AND(SUBTOTAL(103;INDIRECT("A" & D2))=1; EXACT(INDIRECT("G" & D2);"FALSE")); INDIRECT("A" & D2) & " - " & INDIRECT("B" & D2) & " (Row " & D2 & ")"; "Beer (" & INDIRECT("A" & D2) & " - " & INDIRECT("B" & D2) & " (Row " & D2 & ")" & ") Marked as Excluded - Recalculate" ),,,,,Recalculate,TRUE,,
Brewery,Beer,Style,ABV,Added Date,Qty.,Exclude,Votes,Style Guide,Notes
Spaten-Franziskaner-Löwenbräu-Gruppe,Spaten München / Münchner Hell / Premium Lager,Lager - Helles,5.2,2025-05-17 12:45:51,1,TRUE,,BJCP: 4A. Munich Helles,Beer expert blind tests classic Munich Helles (6:45)
Stewart Brewing,St Giles,Scottish Ale,5,2025-04-30 12:57:54,1,FALSE,,,
Stigbergets Bryggeri,Barrel Aged Trouble Sleep,Stout - Imperial / Double,12.5,2024-12-06 17:38:51,1,FALSE,,,
Stigbergets Bryggeri,Always Porter,Porter - English,5,2025-02-19 16:08:21,1,FALSE,,,
Stigbergets Bryggeri,BUFFY,IPA - Imperial / Double New England / Hazy,8.3,2025-05-10 12:17:59,1,FALSE,,,
Stockholm Brewing Co.,Italo Pils,Pilsner - Italian,5.2,2025-05-07 15:52:01,2,FALSE,,,
The Kernel Brewery,A London Porter,Porter - English,5,2025-02-15 14:36:22,1,FALSE,,,
This Is How,How To Skip Dessert Bourbon Barrel Aged (2022),Stout - Imperial / Double,12,2025-05-07 16:09:27,1,FALSE,,,
Warsteiner,Premium Pilsener / German Pilsener,Pilsner - German,4.8,2025-05-17 12:44:55,2,TRUE,,,Beer expert blind tests classic Munich Helles (BONUS)
,Hofbräu,,,,,TRUE,,BJCP: 4A. Munich Helles,Beer expert blind tests classic Munich Helles (4:33)
Ayinger,Lagerbier Hell,,,,,FALSE,,,To buy / wishlist
